Description,Discount_Price,Price,Metal,Metal Color,Stones,Jewelry_Type,Product_Carat,Stone1_Desc,Stone1_Carat,Stone1_Stone,Stone1_Color,Stone1_Cut,Stone2_Desc,Stone2_Carat,Stone2_Stone,Stone2_Color,Stone2_Cut,Stone3_Desc,Stone3_Carat,Stone3_Stone,Stone3_Color,Stone3_Cut,Stone4_Desc,Stone4_Carat,Stone4_Stone,Stone4_Color,Stone4_Cut,Stone5_Desc,Stone5_Carat,Stone5_Stone,Stone5_Color,Stone5_Cut,Stone6_Desc,Stone6_Carat,Stone6_Stone,Stone6_Color,Stone6_Cut
"Effy 925 Sterling Silver Diamond Earrings, 0.33 TCW",295.0,550.0,Sterling Silver,Sterling Silver,Round Diamond 0.33,Earrings,0.33,Round Diamond,0.33,Diamond, ,Round,,,,,,,,,,,,,,,,,,,,,,,,,
"Effy 14K White Gold Black and White Diamond Stud Earrings, 0.91 TCW",1536.5,2195.0,14K Gold,White,Round Diamond 0.91,Earrings,0.91,Round Diamond,0.91,Diamond, ,Round,,,,,,,,,,,,,,,,,,,,,,,,,
"Effy 925 Mosaic Multi Gemstone Earrings, 2.88 TCW",875.0,1250.0,Sterling Silver & 18K Gold,Yellow,"Multi-Shape Multi-Color 2.88,1"" Diameter, 3/8"" Wide",Earrings,2.88,Multi-Shape Multi-Color,2.88,Multi-Color, ,Multi-Shape,"1"" Diameter",0.0,Diameter, ,"1""", 3,8.0,3, , ,,,,,,,,,,,,,,,
"Effy Seaside Silver and 18K Gold Blue Topaz Starfish Earrings, 6.40 TCW",696.5,995.0,Stainless Steel & 18K Gold,Yellow,Multi-Shape Blue Topaz 6.4,Earrings,6.4,Multi-Shape Blue Topaz,6.4,Topaz,Blue,Multi-Shape,,,,,,,,,,,,,,,,,,,,,,,,,
"Effy 14K Yellow Gold Amethyst Stud Earrings, 4.25 TCW",696.5,995.0,14K Gold,Yellow,Cushion Amethyst 4.25,Earrings,4.25,Cushion Amethyst,4.25,Amethyst, ,Cushion,,,,,,,,,,,,,,,,,,,,,,,,,
"Effy 925 Sterling Silver and 18K Gold Green Amethyst Earrings, 2.33 TCW",416.5,595.0,Sterling Silver & 18K Gold,Yellow,Pear Green Amethyst 2.33,Earrings,2.33,Pear Green Amethyst,2.33,Amethyst,Green,Pear,,,,,,,,,,,,,,,,,,,,,,,,,
Effy 925 Sterling Silver & Gold Blue Topaz Earrings,385.0,550.0,Sterling Silver & 18K Gold,Yellow,Rectangle Blue Topaz 2.19,Earrings,0.0,Rectangle Blue Topaz,2.19,Topaz,Blue,Rectangle,,,,,,,,,,,,,,,,,,,,,,,,,
"Effy Brasilica 14K Yellow Gold Emerald and Diamond Earrings, 1.53 TCW",1816.5,2595.0,14K Gold,Yellow,"Square Emerald 1.37, Round Diamond 0.16",Earrings,1.53,Square Emerald,1.37,Emerald, ,Square, Round Diamond,0.16,Diamond, ,Round,,,,,,,,,,,,,,,,,,,,
"Effy Pave Classica 14K White Gold Diamond Earrings, 0.58 TCW",2166.5,3095.0,14K Gold,White,Round Diamond 0.58,Earrings,0.58,Round Diamond,0.58,Diamond, ,Round,,,,,,,,,,,,,,,,,,,,,,,,,
"Effy Nature 14K Gold Ruby, Sapphire & Diamond Flowers Earrings, 1.80 TCW",3356.5,4795.0,14K Gold,Rose,"Round Multi-Color 1.27, Round Diamond 0.53",Earrings,1.8,Round Multi-Color,1.27,Multi-Color, ,Round, Round Diamond,0.53,Diamond, ,Round,,,,,,,,,,,,,,,,,,,,
"Effy Espresso 14K Rose Gold Diamond Huggie Hoop Earrings, 1.30 TCW",3146.5,4495.0,14K Gold,Rose,Round Diamond 1.3,Earrings,1.3,Round Diamond,1.3,Diamond, ,Round,,,,,,,,,,,,,,,,,,,,,,,,,
"Effy Splash Sterling Silver Blue Sapphire Circle Earrings, 3.34 TCW",556.5,795.0,Sterling Silver,Sterling Silver,Round Blue Sapphire 3.34,Earrings,3.34,Round Blue Sapphire,3.34,Sapphire,Blue,Round,,,,,,,,,,,,,,,,,,,,,,,,,
"Effy 14K White Gold Diamond Stud Earring, 2.00 TCW",6995.0,6995.0,14K Gold,White,Round Diamond 2,Earrings,2.0,Round Diamond,2.0,Diamond, ,Round,,,,,,,,,,,,,,,,,,,,,,,,,
