Description,Discount_Price,Price,Metal,Metal Color,Stones,Product_Weight
"Effy Ruby Royale 14K Yellow Gold Ruby and Diamond Ring, 2.10 TCW",2026.5,2895.0,14K Gold,Yellow,"Emerald Cut Ruby 1.9, Round Diamond 0.2,",2.1
"Effy Duo 14K White and Yellow Gold Diamond Ring, 1.23 TCW",3442.5,6885.0,14K Gold,Yellow and White,Round Diamond 1.23,1.23
"Effy Trio 14K Tri Color Gold Diamond Twist Ring, 1.24 TCW",2907.5,5815.0,14K Gold,Three Tone,"Round Diamond 1.24,",1.24
"Effy Ruby Royale 14K Yellow Gold Ruby and Diamond Ring, 3.76 TCW",3076.5,4395.0,14K Gold,Yellow,"Marquise Ruby 3.2, Round Diamond 0.56,",3.76
"Effy Blush 14K Rose Gold Morganite and Diamond Ring, 1.71 TCW",1470.0,2100.0,14K Gold,Rose,"Cushion Morganite 1.6, Round Diamond 0.11,",1.71
"Effy Watercolors 14K Yellow Gold Sapphire & Diamond Starfish Ring, 0.84 TCW",1186.5,1695.0,14K Gold,Yellow,"Round Multi Sapphire 0.76, Round Diamond 0.08,",0.84
"Effy 14K White Gold Sapphire, Tsavorite & Diamond Ring, 4.09 TCW",2697.5,5395.0,14K Gold,White,"Multi Shape Multi Color 3.63, Round Diamond 0.46",4.09
"Effy Safari 14K Yellow Gold Diamond Snake Ring, 0.95 TCW",3846.5,5495.0,14K Gold,Yellow,"Multi Shape Diamond 0.93, Round Tsavorite 0.02,",0.95
"Effy Bridal 14K White Gold 3-Stone Diamond Ring, 0.95 TCW",2197.5,4395.0,14K Gold,White,"Round Diamond 0.95,",0.95
"Effy 14K Tri Tone Gold Diamond Knot Ring, 0.52 TCW",1800.0,3600.0,Sterling Silver & 18K Gold,Three Tone,"Round Diamond 0.52,Top Width; 1/2""",0.52
"Effy Safari 14K Yellow Gold Blue Sapphire and Diamond Snake Ring, 1.49 TW",3496.5,4995.0,14K Gold,Yellow,"Round Blue Sapphire 0.95, Round Diamond 0.54,",0.0
Effy Kidz Yellow Gold Pearl Flower Ring,325.0,650.0,14K Gold,Yellow,"Round Pearl,",0.0
"Effy Tanzanite Royale Sterling Silver Tanzanite Band Ring, 2.14 TCW",250.0,250.0,Sterling Silver,Sterling Silver,"Oval Tanzanite 2.14,",2.14
"Effy Seaside 14K White Gold Blue Sapphire & Diamond Dolphin Ring, 1.39 TCW",2796.5,3995.0,14K Gold,White,"Round Blue Sapphire 1.02, Round Diamond 0.37,",1.39
"Effy Bella Bleu 14K White Gold Diamond Cross Over Ring, 2.08 TCW",5176.5,7395.0,14K Gold,White,"Round Diamond 2.08,",2.08
"Effy Brasilica 14K White Gold Emerald and Diamond Ring, 2.29 TCW",3286.5,4695.0,14K Gold,White,"Emerald Cut Emerald 1.96, Round Diamond 0.33,",2.29
"Effy Pave Rose 14K Rose Gold Diamond Crossover Ring, 0.71 TCW",2625.0,5250.0,14K Gold,Rose,"Round Diamond 0.71,",0.71
"Effy Trio 14K Tri Color Gold Diamond Ring, 0.62 TCW",1947.5,3895.0,14K Gold,Three Tone,Round Diamond 0.62,0.62
"Effy D'Oro 14K Yellow Gold Diamond Accented Ring, 0.29 TCW",1497.5,2995.0,14K Gold,Yellow,Round Diamond 0.29,0.29
"Effy Pave Classica 14K White Gold Diamond Stack Ring, 0.65 TCW",1645.0,2350.0,14K Gold,White,"Round Diamond 0.65,",0.65
"Effy Bouquet 14K Yellow Gold Diamond Clusters Ring, 1.01 TCW",3636.5,5195.0,14K Gold,Yellow,"Round Diamond 1.01,",1.01
"Effy Watercolors 14K Rose Gold Multi-Sapphire Diamond Ring, 13.94 TCW",5997.5,11995.0,14K Gold,Rose,"Multi Shape Multi Sapphire 13.63, Round Diamond 0.31,",13.94
"Effy Tanzanite Royale 14K Yellow Gold Tanzanite and Diamond Ring, 2.20 TCW",2997.5,5995.0,14K Gold,Yellow,"Emerald Cut Tanzanite 1.33, Round Diamond 0.87",2.2
"Effy Canare 18K Two-Tone Gold Yellow and White Diamond Ring, 0.72 TCW",3216.5,4595.0,18K Gold,Yellow and White,"Round Yellow Diamond 0.72,",0.72
"Effy Pave Classica 14K White Gold Diamond Cross Over Ring, 0.54 TCW",2306.5,3295.0,14K Gold,White,Round Diamond 0.54,0.54
"Effy Pave Classica 14K White Gold Diamond Halo Ring, 0.59 TCW",2796.5,3995.0,14K Gold,White,"Round Diamond 0.59,",0.59
"Effy Collector's Edition 14K Yellow Gold Black Diamond Ring, 3.80 TCW",7350.0,10500.0,14K Gold,Yellow,"Round Black Diamond 3.53, Marquise Emerald 0.27,",3.8
"Effy Canare 18K Two-Tone Gold Yellow & White Gold Diamond Ring, 2.19 TCW",19950.0,28500.0,18K Gold,White,"Cushion Yellow Diamond 1.5,",2.19
"Effy Signature 14K Yellow Gold Emerald and Diamond Panther Ring, 0.67 TCW",1750.0,3500.0,14K Gold,Yellow,"Round Diamond 0.62, Round Emerald 0.05,",0.67
"Effy Safari 14K Yellow Gold Multi Gemstone and Diamond Snake Ring, 2.19 TCW",2236.5,3195.0,14K Gold,Yellow,"Multi Shape Multi Color 1.75, Round Diamond 0.44",2.19
"Effy Novelty 14K Yellow Gold Onyx and Diamond Evil Eye Ring, 1.25 TCW",696.5,995.0,14K Gold,Yellow,"Multi Shape Onyx 1.2, Round Diamond 0.05",1.25
"Effy Ocean Bleu 14K Gold London Blue Topaz and Diamond Ring, 2.10 TCW",1046.5,1495.0,14K Gold,White,"Round Blue Topaz 2, Round Diamond 0.1",2.1
"Effy Sunset 14K Yellow Gold Citrine and Diamond Ring, 9.06 TCW",1676.5,2395.0,14K Gold,Yellow,"Oval Citrine 8.75, Multi Shape Diamond 0.31",9.06
"Effy Blush 14K Rose Gold Morganite and Diamond Ring, 2.53 TCW",2275.0,3250.0,14K Gold,Rose,"Emerald Cut Morganite 2.2, Round Diamond 0.33",2.53
"Effy Limited Edition 14K White Gold Blue Sapphire & Diamond Ring, 8.07 TCW",3925.0,7850.0,14K Gold,White,"Multi Shape Blue Sapphire 7.85, Round Diamond 0.22",8.07
"Effy Eclipse 14K Yellow Gold Onyx and Diamond Ring, 5.56 TCW",2796.5,3995.0,14K Gold,Yellow,"Rectangle Onyx 5.3, Round Diamond 0.26,",5.56
"Effy 925 Sterling Silver & Gold Onyx Ring, 4.51 TCW",262.5,375.0,Sterling Silver & 18K Gold,Yellow,"Cushion Onyx 4.51,",4.51
"Effy 14K Rose Gold Amethyst, Tanzanite and Diamond Ring, 7.49 TCW",1816.5,2595.0,14K Gold,Rose,"Rectangle Multi Color 7.35, Round Diamond 0.14",7.49
"Effy Ruby Royale 14K Yellow Gold Ruby and Diamond Ring, 1.36 TCW",1297.5,2595.0,14K Gold,Yellow,"Round Ruby 1, Round Diamond 0.36,",1.36
"Effy Hematian 18K White Gold Diamond Ring, 2.68 TCW",10496.5,14995.0,18K Gold,White,"Round Diamond 2.68,",2.68
"Effy Watercolors 14K White Gold Multi Sapphire and Diamond Ring, 5.53 TCW",3597.5,7195.0,14K Gold,White,"Oval Multi Sapphire 5.18, Round Diamond 0.35",5.53
"Effy Espresso 14K Yellow Gold Diamond Filigree Ring, .84 TCW",1952.5,3905.0,14K Gold,Yellow,"Round Diamond, Round Cognac Diamond ",0.84
"Effy Brasilica 14K White Gold Emerald and Diamond Ring, 2.81 TCW",7350.0,10500.0,14K Gold,White,"Emerald Emerald 2.33, Round Diamond 0.48",2.81
"Effy Signature 14K Yellow Gold Diamond and Emerald Ring, 1.94 TCW",2647.5,5295.0,14K Gold,Yellow,"Oval Emerald 1.16, Round Diamond 0.78,",1.94
"Effy Gemma 14K White Gold Tanzanite and Diamond Ring, 1.60 TCW",2096.5,2995.0,14K Gold,White,"Emerald Cut Tanzanite 1.33, Round Diamond 0.27,",1.6
"Effy Safari 14K Yellow Gold Tsavorite, Dia. & Sapphire Frog Ring, 1.45 TCW",2656.5,3795.0,14K Gold,Yellow,"Round Multi Color 1.08, Round Diamond 0.37,Frog measures approx .75"" long",1.45
"14K Two Tone Gold Blue and White Diamond Crossover Ring, 1.00 TCW",1750.0,2500.0,14K Gold,Yellow and White,Round Diamond 1,1.0
"Effy Ocean Bleu 14K Gold London Blue Topaz and Diamond Ring, 8.69 TCW",2275.0,3250.0,14K Gold,White,"Cushion Blue Topaz 8.35, Round Diamond 0.34,",8.69
"Effy Aquarius 14K White Gold Aquamarine and Diamond Cocktail Ring, 7.00 TCW",4196.5,5995.0,14K Gold,White,"Emerald Cut Aquamarine 6.85, Round Diamond 0.15",7.0
"Effy Sunset 14K Rose Gold Fire Citrine and Diamond Ring, 5.44 TCW",1396.5,1995.0,14K Gold,Rose,"Pear Citrine 5.35, Round Diamond 0.09",5.44
"Effy 14K Yellow Gold Multi Sapphire and Diamond Ring, 3.29 TCW",1997.5,3995.0,14K Gold,Yellow,"Multi Shape Multi Sapphire 3, Round Diamond 0.29,",3.29
