Description,Discount_Price,Price,Metal,Metal Color,Stones,Product_Weight
Effy Limited Edition 14K Rose Gold Cognac and White Diamond Butterfly Ring,5355.0,7650.0,14K Gold,Rose,"Round Diamond 2.22,",0.0
"Effy Bella Bleu 14K White Gold Blue and White Diamond Ring, 1.12 TCW",2936.5,4195.0,14K Gold,White,Round Diamond 1.12,1.12
"Effy D'Oro 14K Yellow Gold Diamond Negative Space Ring, 0.65 TCW",1847.5,3695.0,14K Gold,Yellow,Round Diamond 0.65,0.65
"Effy Bouquet 14K White Gold Diamond Clusters Ring, 0.95 TCW",3697.5,7395.0,14K Gold,White,"Round Diamond 0.95,",0.95
"Effy Classique 14K White Gold Diamond Ring, 0.88 TCW",3846.5,5495.0,14K Gold,White,Multi Shape Diamond 0.88,0.88
"Effy Nature 14K White Gold Black and White Diamond Butterfly Ring, 1.15 TCW",3286.5,4695.0,14K Gold,White,"Round Diamond 1.15,",1.15
"Effy Espresso 14K Rose Gold Cognac and White Diamond Ring, 0.62 TCW",2516.5,3595.0,14K Gold,Rose,Round Diamond 0.62,0.62
"Effy Bella Bleu 14K White Gold Blue and White Diamond Ring, 0.57 TCW",2026.5,2895.0,14K Gold,White,"Round Diamond 0.57,",0.57
"Effy Blush 14K Rose Gold Morganite and Diamond Ring, 2.14 TCW",2275.0,3250.0,14K Gold,Rose,"Oval Morganite 1.7, Round Diamond 0.44,",2.14
"Effy Limited Edition 14K Yellow and White Gold Diamond Ring, 2.25 TCW",7560.0,10800.0,14K Gold,Yellow and White,Round Diamond 2.25,2.25
"Effy 925 Sterling Silver & 18K Yellow Gold Accented Diamond Ring, 0.20 TCW",665.0,950.0,Sterling Silver & 18K Gold,Yellow,"Round Diamond 0.2,",0.2
"Effy Aquarius 14K Rose and White Gold Aquamarine and Diamond Ring, 2.50 TCW",2306.5,3295.0,14K Gold,Rose and White,"Emerald Cut Aquamarine 2.23, Round Diamond 0.27,",2.5
"Effy Signature 14K Yellow Gold Diamond and Emerald Ring, 0.67 TCW",2376.5,3395.0,14K Gold,Yellow,"Round Diamond 0.65, Round Emerald 0.02,",0.67
"Effy Bouquet 14K White Gold Diamond Cluster Engagement Ring, 0.56 TCW",1606.5,2295.0,14K Gold,White,"Round Diamond 0.56,",0.56
"Effy Nature 14K Yellow Gold Cognac & White Diamond Butterfly Ring, 0.45 TCW",1505.0,2150.0,14K Gold,Yellow,"Round Diamond 0.45,",0.45
"Effy Blush 14K Rose Gold Morganite and Diamond Ring, 1.56 TCW",1956.5,2795.0,14K Gold,Rose,"Trillion Morganite 1.3, Round Diamond 0.26,",1.56
"Effy Brasilica 14K Yellow Gold Emerald and Diamond Ring, 1.68 TCW",3706.5,5295.0,14K Gold,Yellow,"Emerald Cut Emerald 0.95, Round Diamond 0.73",1.68
"Effy 925 Sterling Silver & 18K Yellow Gold Diamond Accented Ring, 0.09 TCW",455.0,650.0,Sterling Silver & 18K Gold,Yellow,"Round Diamond 0.09,",0.09
"Effy Gemma 14K White Gold Ruby and Diamond Ring, 1.14 TCW",1746.5,2495.0,14K Gold,White,"Round Ruby 0.85, Round Diamond 0.29,",1.14
"Effy Pave Classica 14K White Gold Diamond Ring, 0.32 TCW",1326.5,1895.0,14K Gold,White,Multi Shape Diamond 0.32,0.32
"Effy Geo 14K Rose Gold Ruby and Diamond Negative Space Ring, 1.45 TCW",2147.5,4295.0,14K Gold,Rose,"Oval Ruby 0.86, Round Diamond 0.59",1.45
"Effy Espresso 14K Yellow Gold Cognac and White Diamond Ring, 0.66 TCW",2586.5,3695.0,14K Gold,Yellow,Round Diamond 0.66,0.66
"Effy Canare 14K Two Tone Gold Yellow and White Diamond Ring, 0.58 TCW",3216.5,4595.0,14K Gold,Yellow and White,Round Diamond 0.58,0.58
"Effy Canare 14K 2-Tone Gold Yellow and White Diamond Ring, 0.35 TCW",1746.5,2495.0,14K Gold,Yellow and White,"Round Diamond 0.35,",0.35
"Effy Rosa 14K Rose Gold Ruby and Diamond Ring, 1.15 TCW",2586.5,3695.0,14K Gold,Rose,"Round Ruby 0.78, Round Diamond 0.37",1.15
"Effy Bella Bleu 14K Rose Gold Blue and White Diamond Ring, 0.52 TCW",2376.5,3395.0,14K Gold,Rose,"Round Diamond 0.52,",0.52
"Effy Pave Rose 14K Rose Gold Diamond Ring, 0.37 TCW",1715.0,2450.0,14K Gold,Rose,Round Diamond 0.37,0.37
"Effy 14K Yellow Gold Black and White Diamond Ring, 0.62 TCW",2026.5,2895.0,14K Gold,Yellow,"Round Diamond 0.62,",0.62
"Effy Pave Classica 14K White Gold Diamond Criss Cross Ring, 0.40 TCW",1746.5,2495.0,14K Gold,White,Round Diamond 0.4,0.4
"Effy Gemma 14K White Gold Tanzanite and Diamond Ring, 3.09 TCW",4056.5,5795.0,14K Gold,White,"Oval Tanzanite 2.85, Round Diamond 0.24,",3.09
"Effy Bella Bleu 14K Rose Gold Blue and White Diamond Ring, 0.56 TCW",2306.5,3295.0,14K Gold,Rose,Round Diamond 0.56,0.56
"Effy Pave Classica 14K White Gold Diamond Criss Cross Ring, 0.40 TCW",1396.5,1995.0,14K Gold,White,"Round Diamond 0.4,",0.4
"Effy Bouquet 14K White Gold Diamond Cluster Ring, 0.39 TCW",2656.5,3795.0,14K Gold,White,"Round Diamond 0.39,",0.39
"Effy Bouquet 14K White Gold Diamond Cluster Ring, 0.57 TCW",2726.5,3895.0,14K Gold,White,"Round Diamond 0.57,",0.57
"Effy Blush 14K Rose Gold Morganite and Diamond Ring, 3.40 TCW",2096.5,2995.0,14K Gold,Rose,"Oval Morganite 3.15, Round Diamond 0.25,",3.4
"Effy Signature 14K White Gold Diamond and Emerald Ring, 2.31 TCW",4075.0,8150.0,14K Gold,White,"Round Diamond 1.53, Multi Shape Emerald 0.78,",2.31
"Effy Signature 14K White Gold Diamond and Emerald Ring, 1.16 TCW",2325.0,4650.0,14K Gold,White,"Round Diamond 0.77, Multi Shape Emerald 0.39,",1.16
"Effy Brasilica 14K White Gold Emerald and Diamond Ring, 1.37 TCW",1606.5,2295.0,14K Gold,White,"Round Emerald 1.19, Round Diamond 0.18,",1.37
"Effy Blush 14K Rose Gold Morganite and Diamond Ring, 2.64 TCW",1676.5,2395.0,14K Gold,Rose,"Emerald Cut Morganite 2.55, Round Diamond 0.09,",2.64
"Effy Blush 14K Rose Gold Morganite, Cognac and White Diamond Ring, 2.38 TCW",1816.5,2595.0,14K Gold,Rose,"Pear Morganite 2.15, Round Diamond 0.23,",2.38
"Effy Eclipse 14K Yellow Gold Onyx and Diamond Ring, 11.50 TCW",1295.0,1850.0,14K Gold,Yellow,"Fantasy Cut Onyx 11.3, Round Diamond 0.2,",11.5
"Effy Pave Rose 14K Rose Gold Diamond Negative Space Ring, 0.43 TCW",1676.5,2395.0,14K Gold,Rose,Round Diamond 0.43,0.43
Effy 925 Silver & 18K Gold Cognac Diamond Ring,297.5,425.0,Sterling Silver & 18K Gold,Yellow,"Round Cognac Diamond 0.09,",0.0
"Effy Watercolors 14K Yellow Gold Multi Sapphire & Diamond Ring, 4.00 TCW",2796.5,3995.0,14K Gold,Yellow,"Multi Shape Multi Sapphire 3.54, Round Diamond 0.46",4.0
"Effy Aquarius 14K White Gold Aquamarine and Diamond Ring, 2.15 TCW",1645.0,2350.0,14K Gold,White,"Cushion Aquamarine 1.9, Round Diamond 0.25,",2.15
"Effy Brasilica 14K Yellow Gold Emerald, Cognac & White Diamond Ring, 1.70 TCW",2975.0,4250.0,14K Gold,Yellow,"Oval Emerald 1.14, Round Diamond 0.56,",1.7
"Effy 14K White Gold Black and White Diamond Ring, .72 TCW",1536.5,2195.0,14K Gold,White,"Round Diamond 0.72,",0.72
"Effy Aquarius 14K White Gold Aquamarine and Diamond Ring, 3.96 TCW",1816.5,2595.0,14K Gold,White,"Rectangle Aquamarine 3.8, Round Diamond 0.16",3.96
"Effy Espresso 14K Rose Gold Cognac and White Diamond Ring, .46 TCW",1676.5,2395.0,14K Gold,Rose,"Round Cognac Diamond, Round Diamond ,",0.46
"Gemma White Gold Emerald & Diamond Ring, 1.37 TCW",2446.5,3495.0,14K Gold,White,"Emerald Cut Emerald 0.95, Round Diamond 0.42",1.37
Pave Classica 14K Rose Gold Diamond Wedding Band,696.5,995.0,14K Gold,Rose,"Round Diamond 0.13,Matching band for Style WZ0M486DTR",0.0
"Effy Bouquet 14K White Gold Diamond Filigree Ring, 0.53 TCW",2026.5,2895.0,14K Gold,White,Round Diamond 0.53,0.53
"Effy Safari 14K Rose Gold Diamond Owl Ring, 0.72 TCW",2905.0,4150.0,14K Gold,Rose,"Round Diamond, Round Black Diamond , Round Cognac Diamond ,",0.72
"Effy Watercolors 14K Yellow Gold Multi Sapphire & Diamond Ring, 2.44 TCW",2026.5,2895.0,14K Gold,Yellow,"Multi Shape Multi Sapphire 2.17, Round Diamond 0.27",2.44
"Effy Signature 14K Rose Gold Diamond & Emerald Double Finger Ring, 1.91 TCW",6926.5,9895.0,14K Gold,Rose,"Round Diamond 1.87, Round Emerald 0.04,",1.91
"Effy Signature 14K White Gold Diamond and Emerald Ring, 1.40 TCW",4056.5,5795.0,14K Gold,White,"Round Diamond, Round Black Diamond , Round Emerald 0.05,",1.4
"Effy 925 S. Silver & 18K Gold Diamond Ring, .11 TCW",416.5,595.0,Sterling Silver & 18K Gold,Yellow,"Round Diamond 0.11,",0.11
Effy 925 Sterling Silver & 18K Gold Blue Sapphire Ring,245.0,350.0,Sterling Silver & 18K Gold,Yellow,"Round Blue Sapphire 0.19,",0.0
"Effy 925 Sterling Silver Pink Sapphire Splash Starfish Ring, 2.82 TCW",525.0,750.0,Sterling Silver,Sterling Silver,"Round Pink Sapphire 2.82,",2.82
"Effy 925 Lagoon Green Amethyst Ring, 4.09 TCW",416.5,595.0,Sterling Silver,Sterling Silver,"Oval Green Amethyst 4.09,",4.09
"Effy Signature 14K Rose Gold Diamond and Emerald Ring, 2.89 TCW",6497.5,12995.0,14K Gold,Rose,"Round Diamond, Round Cognac Diamond , Round Emerald 0.19",2.89
"Gemma White Gold Blue Sapphire & Diamond Ring, 2.61 TCW",2236.5,3195.0,14K Gold,White,"Oval Blue Sapphire 2.14, Round Diamond 0.47,",2.61
"Effy Pave Classica 14K White Gold Diamond Engagement Ring, 0.98 TCW",6997.5,13995.0,14K Gold,White,"Round Diamond 0.98,",0.98
"Effy Pave Rose 14K Rose Gold Diamond Ring, 0.40 TCW",1746.5,2495.0,14K Gold,Rose,"Round Diamond 0.4,",0.4
"Effy Espresso 14K Rose Gold Cognac and White Diamond Ring, .89 TCW",2096.5,2995.0,14K Gold,Rose,"Round Cognac Diamond, Round Diamond ,",0.89
"Effy Signature 14K Rose Gold Diamond and Emerald Ring, 0.66 TCW",2376.5,3395.0,14K Gold,Rose,"Round Diamond, Round Cognac Diamond , Round Emerald 0.02,",0.66
"Signature Rose Gold Diamond and Emerald Ring, 1.35 TCW",4047.5,8095.0,14K Gold,Rose,"Round Diamond, Round Cognac Diamond , Round Emerald 0.06,",1.35
"Effy Trio 14K Tri-Color Gold Diamond Ring, 0.54 TCW",2236.5,3195.0,14K Gold,Three Tone,"Round Diamond 0.54,",0.54
"Gemma Blue Sapphire and Diamond Ring, 1.14 TCW",1816.5,2595.0,14K Gold,White,"Round Blue Sapphire 0.85, Round Diamond 0.29,",1.14
"Effy Gemma 14K Yellow Gold Genuine Ruby and Diamond Ring, 0.88 TCW",1186.5,1695.0,14K Gold,Yellow,"Round Ruby 0.63, Round Diamond 0.25,",0.88
"Gemma Blue Sapphire and Diamond Ring, 0.76 TCW",1225.0,1750.0,14K Gold,White,"Round Diamond 0.24, Round Blue Sapphire 0.52,",0.76
"Effy Bouquet 14K White Gold Diamond Cluster Ring, 1.91 TCW",15050.0,21500.0,14K Gold,White,Round Diamond 1.91,1.91
"Gemma Oval Blue Sapphire and Diamond Ring, 2.29 TCW",3605.0,5150.0,14K Gold,White,"Round Diamond 0.39, Oval Blue Sapphire 1.9,",2.29
"Effy Bouquet 14K White Gold Diamond Cluster Ring, 1.71 TCW",10697.5,21395.0,14K Gold,White,Multi Shape Diamond 1.71,1.71
"Effy D'Oro 14K Yellow Gold Diamond Ring, 0.29 TCW",1396.5,1995.0,14K Gold,Yellow,"Round Diamond 0.29,",0.29
"Effy Pave Classica 14K White Gold Diamond Cross Over Ring, 0.29 TCW",1396.5,1995.0,14K Gold,White,"Round Diamond 0.29,",0.29
"Effy 14K Yellow Gold Espresso, Black and White Diamond Ring, 1.53 TCW",4445.0,6350.0,14K Gold,Yellow,Round Diamond 1.53,1.53
"Effy 14K White Gold Black and White Diamond Ring, 1.28 TCW",2796.5,3995.0,14K Gold,White,"Round Diamond, Round Black Diamond ,",1.28
"Gemma Blue Sapphire and Diamond Ring, 2.37 TCW",2297.5,4595.0,14K Gold,White,"Round Diamond 0.31, Round Sapphire 2.06,",2.37
"Effy Tanzanite Royale 14K White Gold Tanzanite and Diamond Ring, 1.88 TCW",3395.0,4850.0,14K Gold,White,"Trillion Tanzanite 1.62, Round Diamond 0.26",1.88
"Effy Trio Sterling Silver & 14K Gold Diamond Crossover Ring, 0.07 TCW",595.0,850.0,Sterling Silver & 14K Gold,Three Tone,Round Diamond 0.07,0.07
"Effy Ruby Royale 18K White Gold Ruby and Diamond Ring, 9.47 TCW",30236.5,43195.0,14K Gold,White,"Cushion Ruby 7.14, Round Diamond 2.33",9.47
"Effy Tanzanite Royale 18K White Gold Tanzanite and Diamond Ring, 12.41 TCW",35486.5,50695.0,18K Gold,White,"Oval Tanzanite 7.9, Round Diamond 4.51",12.41
"Effy Duo 14K Two Tone Gold Diamond Crossover Ring, 0.97 TCW",4406.5,6295.0,14K Gold,Yellow and White,Round Diamond 0.97,0.97
"Effy Kidz 14K Yellow Gold Diamond Pave Heart Ring, 0.10 TCW",766.5,1095.0,14K Gold,Yellow,Round Diamond 0.1,0.1
"Effy Duo 14K Two-Tone Gold Diamond Wrap Ring, 0.78 TCW",2625.0,3750.0,14K Gold,Rose and White,"Round Diamond 0.78,",0.78
"Effy Bouquet 14K White Gold Diamond Cluster Ring, 0.98 TCW",6016.5,8595.0,14K Gold,White,"Round Diamond 0.98,",0.98
"Effy 925 Sterling Silver Ruby and Pink Sapphire Splash Bowtie Ring, 1.80 TCW",402.5,575.0,Sterling Silver,Sterling Silver,"Round Pink Sapphire 1.80,",1.8
"Effy Ruby Royale 14K Yellow Gold Genuine Ruby & Diamond Ring, 4.11 TCW",5456.5,7795.0,14K Gold,Yellow,"Baguette Ruby 3.28, Round Diamond 0.83,",4.11
"Effy Eclipse 14K Yellow Gold Onyx and Diamond Cocktail Ring, 16.88",1470.0,2100.0,14K Gold,Yellow,"Oval Onyx 16.8, Round Diamond 0.08,",0.0
"Effy Tanzanite Royale 14K White Gold Tanzanite and Diamond Ring, 1.66 TCW",2516.5,3595.0,14K Gold,White,"Trillion Tanzanite 1.25, Multi Shape Diamond 0.41",1.66
"Gemma Sapphire and Diamond Channel-Set Ring, 0.71 TCW",1536.5,2195.0,14K Gold,White,"Baguette Blue Sapphire 0.51, Round Diamond 0.2,",0.71
"Effy Classique 14K White Gold Diamond Ring, 1.15 TCW",3875.0,7750.0,14K Gold,White,"Multi Shape Diamond 1.15,",1.15
"Effy Gemma 14K Yellow Gold Ruby and Diamond Channel-Set Ring, 0.72 TCW",1505.0,2150.0,14K Gold,Yellow,"Baguette Ruby 0.57, Round Diamond 0.15,",0.72
"Effy Classique 14K White Gold Channel Set Diamond Band, 0.44 TCW",1606.5,2295.0,14K Gold,White,"Baguette Diamond 0.44,",0.44
"Effy Tanzanite Royale 14K White Gold Tanzanite and Diamond Ring, 1.73 TCW",2870.0,4100.0,14K Gold,White,"Trillion Tanzanite 1.52, Round Diamond 0.21",1.73
"Effy Royale Bleu 14K Yellow & White Gold Blue Sapphire and Diamond Ring, 1.46 TCW",2096.5,2995.0,14K Gold,Yellow and White,"Emerald Cut Blue Sapphire 1.05, Round Diamond 0.41,",1.46
"Effy Gemma 14K Yellow Gold Ruby and Diamond Ring, 0.76 TCW",1225.0,1750.0,14K Gold,Yellow,"Round Ruby 0.52, Round Diamond 0.24,",0.76
"Effy 14K Yellow Gold Black Jade and Diamond Ring, 10.47 TCW",1925.0,2750.0,14K Gold,Yellow,"Oval Black Jade 10.4, Round Diamond 0.07,",10.47
"Effy Tanzanite Royale 14K White Gold Tanzanite and Diamond Ring, 1.91 TCW",2787.5,5575.0,14K Gold,White,"Oval Tanzanite 1.14, Round Diamond 0.77",1.91
"Effy Royale Bleu 14K Two Tone Gold Sapphire and Diamond Ring, 2.39 TCW",3255.0,4650.0,14K Gold,Yellow and White,"Oval Blue Sapphire 1.9, Round Diamond 0.49",2.39
"Effy Pave Rose 14K Rose Gold Diamond Flower Ring, 0.90 TCW",4056.5,5795.0,14K Gold,Rose,"Round Diamond 0.9,",0.9
"Effy 14K White Gold Black and White Diamond Ring, 1.08 TCW",2447.5,4895.0,14K Gold,White,Round Diamond 1.08,1.08
"Effy 14K White Gold Black and White Diamond Ring, 1.64 TCW",3255.0,4650.0,14K Gold,White,"Round Black Diamond, Round Diamond ,",1.64
"Effy Bouquet 14K Yellow Gold Diamond Cluster Ring, 0.39 TCW",2796.5,3995.0,14K Gold,Yellow,"Round Diamond 0.39,",0.39
"Effy Duo 14K Rose and White Gold Diamond Crossover Ring, 0.29 TCW",1396.5,1995.0,14K Gold,Rose,Round Diamond 0.29,0.29
"Effy Ruby Royale 14K Rose Gold Natural Ruby and Diamond Ring, 3.86 TCW",5425.0,7750.0,14K Gold,Rose,"Multi Shape Ruby 2.69, Round Diamond 1.17,",3.86
"Gemma 14K Yellow Gold Emerald and Diamond Ring, 1.28 TCW",2170.0,3100.0,14K Gold,Yellow,"Emerald Cut Emerald 0.95, Round Diamond 0.33,",1.28
"Effy Brasilica 14K Yellow Gold Emerald and Diamond Wrap Ring, 2.22 TCW",3426.5,4895.0,14K Gold,Yellow,"Baguette Emerald 1.86, Round Diamond 0.36,Top Width"" 5/8""",2.22
"Effy Bridal 14K White Gold Diamond Cluster Ring and Band Set, 1.77 TCW",5705.0,8150.0,14K Gold,White,"Round Diamond 1.77,",1.77
"Effy Bouquet 14K White Gold Diamond Cluster Ring, 1.94 TCW",5246.5,7495.0,14K Gold,White,Round Diamond 1.94,1.94
"Effy Classique 14K White Gold Diamond Ring, 0.58 TCW",2975.0,4250.0,14K Gold,White,"Multi Shape Diamond 0.58,",0.58
"Effy Pave Classica 14K White Gold Diamond Negative Space Ring, 0.90 TCW",4756.5,6795.0,14K Gold,White,Round Diamond 0.9,0.9
"Effy Limited Edition 14K Yellow Gold Tanzanite and Diamond Ring, 3.69 TCW",6750.0,13500.0,14K Gold,Yellow,"Emerald Cut Tanzanite 2.91, Multi Shape Diamond 0.78,",3.69
"Effy Bridal 14K White Gold Diamond Cluster Ring and Band Set, 0.72 TCW",3146.5,4495.0,14K Gold,White,"Round Diamond 0.72,",0.72
"Effy D'Oro 14K Yellow Gold Channel Set Diamond Ring, 0.98 TCW",1886.5,2695.0,14K Gold,Yellow,"Round Diamond 0.98,",0.98
"Effy Trio 14K Tri-Color Gold Diamond 3-Band Ring, 0.56 TCW",2485.0,3550.0,14K Gold,Three Tone,"Round Diamond 0.56,",0.56
"Effy Bridal 14K White Gold Diamond Solitaire Ring, 0.33 TCW",1195.0,1195.0,14K Gold,White,Round Diamond 0.33,0.33
"Effy Pave Rose 14K Rose Gold Diamond Wave Ring, 0.26 TCW",1956.5,2795.0,14K Gold,Rose,"Round Diamond 0.26,",0.26
"Effy 14K White Gold Black Diamond Band Ring, 0.88 TCW",1746.5,2495.0,14K Gold,White,"Round Diamond 0.88,",0.88
"Effy Classique 14K White Gold Diamond Ring, 0.81 TCW",2586.5,3695.0,14K Gold,White,Multi Shape Diamond 0.81,0.81
"Effy Signature 14K White Gold Diamond Panther Ring, 1.91 TCW",4297.5,8595.0,14K Gold,White,"Round Diamond 1.88, Round Emerald 0.03",1.91
"Effy Espresso 14K Rose Gold Cognac and White Diamond Ring, 0.56 TCW",2096.5,2995.0,14K Gold,Rose,"Round Diamond 0.56,",0.56
"Effy Nature 14K Yellow Gold Multi Color Diamond Butterfly Ring, 2.82 TCW",6296.5,8995.0,14K Gold,Yellow,"Round Diamond 2.82,",2.82
"Effy Gemma 14K Yellow Gold Natural Ruby and Diamond Ring, 1.08 TCW",1746.5,2495.0,14K Gold,Yellow,"Round Ruby 0.8, Round Diamond 0.29,",1.08
"Effy Blush 14K Rose Gold Morganite and Diamond Ring, 2.64 TCW",1956.5,2795.0,14K Gold,Rose,"Oval Morganite 2.35, Round Diamond 0.29",2.64
"Effy Brasilica 14K Two Tone Gold Emerald and Diamond Ring, 1.90 TCW",3216.5,4595.0,14K Gold,Yellow and White,"Emerald Cut Emerald 1.42, Round Diamond 0.48",1.9
"Effy Aquarius 14K White Gold Aquamarine and Diamond Ring, 2.48 TCW",1505.0,2150.0,14K Gold,White,"Oval Aquamarine 2.4, Round Diamond 0.08,",2.48
"Effy Brasilica 18K White Gold Fine Emerald and Diamond Ring, 7.29 TCW",26250.0,37500.0,18K Gold,White,"Emerald Cut Emerald 5.23, Multi Shape Diamond 2.06,",7.29
"Effy Royale Bleu 14K White Gold Blue Sapphire and Diamond Ring, 1.46 TCW",1540.0,2200.0,14K Gold,White,"Round Diamond 0.13, Princess Sapphire 1.33,",1.46
"Effy Signature 14K Rose Gold Diamond and Emerald Ring, 4.89 TCW",9656.5,13795.0,14K Gold,Rose,"Round Diamond 4.62, Round Emerald 0.27,",4.89
"Effy Classique 14K White Gold Diamond Ring, 0.55 TCW",2485.0,3550.0,14K Gold,White,"Multi Shape Diamond 0.55,",0.55
"Effy Hematian 18K Two Tone Gold Fine Emerald and Diamond Ring, 9.63 TCW",43750.0,62500.0,18K Gold,Yellow and White,"Emerald Cut Emerald 8.72, Multi Shape Diamond 0.91,",9.63
"Gemma Blue Sapphire and Diamond Ring, 0.88 TCW",1186.5,1695.0,14K Gold,White,"Diamond 0.25,",0.88
"Effy Pave Classica 14K White Gold Diamond Ring, 0.59 TCW",2026.5,2895.0,14K Gold,White,"Multi Shape Diamond 0.59,",0.59
"Effy 14K White Gold Black and White Diamond Ring, 0.89 TCW",1816.5,2595.0,14K Gold,White,"Round Black Diamond 0.67, Round Diamond 0.22,",0.89
"Effy D'Oro 14K Yellow Gold Diamond Double Band Ring, 0.36 TCW",1295.0,1850.0,14K Gold,Yellow,"Diamond 0.36,",0.36
"Effy Canare 14K Gold Yellow and White Diamond Cigar Band Ring, 3.82 TCW",13650.0,19500.0,14K Gold,White,"Round Yellow Diamond 2.86, Round Diamond 0.96",3.82
"Effy Pave Classica 14K White Gold Double Band Diamond Ring, 0.36 TCW",1295.0,1850.0,14K Gold,White,"Round Diamond 0.36,",0.36
"Effy Tanzanite Royale 18K White Gold Tanzanite and Diamond Ring, 7.27 TCW",20996.5,29995.0,18K Gold,White,"Emerald Cut Tanzanite 6.04, Multi Shape Diamond 1.23",7.27
"Effy Brasilica 14K White Gold Channel Set Emerald Ring, 0.65 TCW",945.0,1350.0,14K Gold,White,"Round Emerald 0.65,",0.65
"Effy D'Oro 14K Yellow Gold Channel Set Diamond Ring, 0.44 TCW",1606.5,2295.0,14K Gold,Yellow,"Baguette Diamond 0.44,",0.44
"Effy Brasilica 14K Yellow Gold Emerald and Diamond Ring, 3.20 TCW",7696.5,10995.0,14K Gold,Yellow,"Oval Emerald 2.14, Round Diamond 1.06,",3.2
"Effy Ruby Royale 14K Rose Gold Ruby Band Ring, 0.84 TCW",945.0,1350.0,14K Gold,Rose,"Round Ruby 0.84,",0.84
"Effy 14K White Gold Diamond Eternity Band Ring, 5.00 TCW",19386.5,27695.0,14K Gold,White,"Round Diamond 5,Full Eternity Band",5.0
"Effy 14K White Gold Black and White Diamond Ring, 2.74 TCW",5497.5,10995.0,14K Gold,White,"Round Black Diamond, Round Diamond ,",2.74
"Effy Signature 14K Rose Gold Diamond & Emerald Panther Ring, 0.95 TCW",2380.0,3400.0,14K Gold,Rose,"Round Diamond 0.93, Round Emerald 0.02",0.95
"Gemma Emerald, Yellow Sapphire and Diamond Ring",3846.5,5495.0,14K Gold,White,"Emerald Cut Emerald 2.2, Round Yellow Sapphire 0.26, Round Diamond 0.12,",0.0
"Effy Bridal 14K White Gold Diamond Ring, 1.02 TCW",4336.5,6195.0,14K Gold,White,"Round Diamond 1.02,",1.02
"Effy Pave Classica 14K White Gold Diamond Ring, 2.65 TCW",5997.5,11995.0,14K Gold,White,Round Diamond 2.65,2.65
"Effy Pave Classica 14K White Gold Diamond Wide Band Ring, 1.54 TCW",6497.5,12995.0,14K Gold,White,Round Diamond 2.94,1.54
"Effy Bridal 18K White Gold Diamond Solitaire Ring, 1.08 TCW",12950.0,18500.0,18K Gold,White,"Round Diamond 1, Round Diamond 0.08,",1.08
"Effy 14K Yellow Gold Cultured Pearl and Diamond Ring, 0.31 TCW",1116.5,1595.0,14K Gold,Yellow,"Round Pearl, Round Diamond 0.31,",0.31
"Effy Brasilica 14K White Gold Emerald and Diamond Ring, 1.12 TCW",1746.5,2495.0,14K Gold,White,"Oval Emerald 0.68, oval Diamond 0.44,",1.12
"Effy D'Oro 14K Yellow Gold Diamond Band Ring, 0.25 TCW",1606.5,2295.0,14K Gold,Yellow,"Round Diamond 0.25,",0.25
"Effy Canare 18K Two-Tone Gold Yellow and White Diamond Ring, 0.65 TCW",3955.0,5650.0,18K Gold,Yellow and White,"Multi Shape Yellow Diamond 0.65,",0.65
"Effy Tanzanite Royale 14K White Gold Tanzanite and Diamond Ring, 1.63 TCW",1256.5,1795.0,14K Gold,White,"Round Tanzanite 1.52, Round Diamond 0.11",1.63
"Effy Bridal 14K White Gold Diamond Solitaire Ring, 0.50 TCW",2195.0,2195.0,14K Gold,White,Round Diamond 0.5,0.5
"Effy D'Oro 14K Yellow Gold Diamond Ring, 0.76 TCW",3286.5,4695.0,14K Gold,Yellow,Multi Shape Diamond 0.76,0.76
"Effy D'Oro 14K Yellow Gold Diamond Ring, 0.46 TCW",2695.0,3850.0,14K Gold,Yellow,Multi Shape Diamond 0.46,0.46
"Effy Splash Sterling Silver Multi Color Sapphire Ring, 3.45 TCW",612.5,875.0,Sterling Silver,Sterling Silver,Round Multi Color 3.45,3.45
"Effy Splash Sterling Silver Blue Sapphire Ball Ring, 2.73 TCW",595.0,850.0,Sterling Silver,Sterling Silver,Round Blue Sapphire 2.73,2.73
"Effy Splash Sterling Silver Pink Sapphire Ball Ring, 2.70 TCW",626.5,895.0,Sterling Silver,Sterling Silver,Round Pink Sapphire 2.7,2.7
"Effy Limited Edition 14K White Gold Sapphire and Diamond Ring, 6.61 TCW",6716.5,9595.0,14K Gold,White,"Baguette Blue Sapphire 5.22, Round Diamond 1.39,",6.61
"Effy Classique 14K White Gold Diamond Split Band Ring, 0.50 TCW",3850.0,5500.0,14K Gold,White,"Multi Shape Diamond 1.25,",0.5
"Effy Watercolors 14K Yellow Gold Multi Sapphire and Diamond Ring, 2.76 TCW",2026.5,2895.0,14K Gold,Yellow,"Multi Shape Multi Sapphire 2.67, Round Diamond 0.06",2.76
"Effy Tanzanite Royale 14K Rose Gold Tanzanite and Diamond Ring, 1.73 TCW",2200.0,4400.0,14K Gold,Rose,"Oval Tanzanite 1.14, Round Diamond 0.59",1.73
"Effy Brasilica 14K White Gold Emerald and Diamond Halo Ring, 0.60 TCW",1046.5,1495.0,14K Gold,White,"Round Emerald 0.48, Round Diamond 0.12,",0.6
"Effy Tanzanite Royale 14K Rose Gold Tanzanite and Diamond Ring, 0.81 TCW",1085.0,1550.0,14K Gold,Rose,"Round Tanzanite 0.74, Round Diamond 0.07",0.81
