Item_Number,Description,Discount_Price,Price,Metal,Metal Color,Stones,Jewelry_Type,Product_Carat,Stone1_Desc,Stone1_Carat,Stone1_Stone,Stone1_Color,Stone1_Cut,Stone2_Desc,Stone2_Carat,Stone2_Stone,Stone2_Color,Stone2_Cut,Stone3_Desc,Stone3_Carat,Stone3_Stone,Stone3_Color,Stone3_Cut,Stone4_Desc,Stone4_Carat,Stone4_Stone,Stone4_Color,Stone4_Cut,Stone5_Desc,Stone5_Carat,Stone5_Stone,Stone5_Color,Stone5_Cut,Stone6_Desc,Stone6_Carat,Stone6_Stone,Stone6_Color,Stone6_Cut
1374,"Effy Nature 14K Rose Gold Ruby and Diamond Butterfly Earrings, 2.44 TCW",2306.5,3295,14K Gold,Rose,"Pear Ruby 2.2, Round Diamond 0.24",Earrings,2.44,Pear Ruby,2.2,Ruby,,Pear,Round Diamond,0.24,Diamond,,Round,,,,,,,,,,,,,,,,,,,,
1375,"Effy Nature 14K Rose Gold Ruby and Diamond Butterfly Necklace, 1.62 TCW",1816.5,2595,14K Gold,Rose,"Pear Ruby 1.42, Round Diamond 0.2",Necklace and Pendant,1.62,Pear Ruby,1.42,Ruby,,Pear,Round Diamond,0.2,Diamond,,Round,,,,,,,,,,,,,,,,,,,,
1376,"Effy Nature 14K Rose Gold Ruby and Diamond Butterfly Ring, 1.24 TCW",1746.5,2495,14K Gold,Rose,"Pear Ruby 1.04, Round Diamond 0.2",Rings,1.24,Pear Ruby,1.04,Ruby,,Pear,Round Diamond,0.2,Diamond,,Round,,,,,,,,,,,,,,,,,,,,
1377,"Effy Nature 14K Rose Gold Ruby and Diamond Flower Earrings, 2.28 TCW",2096.5,2995,14K Gold,Rose,"Pear Ruby 2, Round Diamond 0.28",Earrings,2.28,Pear Ruby,2,Ruby,,Pear,Round Diamond,0.28,Diamond,,Round,,,,,,,,,,,,,,,,,,,,
1378,"Effy Nature 14K Rose Gold Ruby and Diamond Flower Pendant, 2.49 TCW",4126.5,5895,14K Gold,Rose,"Round Ruby 2.06, Round Diamond 0.43",Necklace and Pendant,2.49,Round Ruby,2.06,Ruby,,Round,Round Diamond,0.43,Diamond,,Round,,,,,,,,,,,,,,,,,,,,
1379,"Effy Nature 14K Rose Gold Ruby and Diamond Flower Ring, 1.76 TCW",2096.5,2995,14K Gold,Rose,"Pear Ruby 1.51, Round Diamond 0.25",Rings,1.76,Pear Ruby,1.51,Ruby,,Pear,Round Diamond,0.25,Diamond,,Round,,,,,,,,,,,,,,,,,,,,
1380,"Effy Nature 14K Rose Gold Ruby and Diamond Flower Ring, 2.24 TCW",4126.5,5895,14K Gold,Rose,"Round Ruby 1.89, Round Diamond 0.35,",Rings,2.24,Round Ruby,1.89,Ruby,,Round,Round Diamond,0.35,Diamond,,Round,,,,,,,,,,,,,,,,,,,,
1381,"Effy Nature 14K Rose Gold Ruby, Pink Sapphire & Diamond  Butterfly Necklace, 1.57 TCW",1326.5,1895,14K Gold,Rose,"Multi-Shape Multi-Color 1.5, Round Diamond 0.07",Necklace and Pendant,1.57,Multi-Shape Multi-Color,1.5,Multi-Color,,Multi-Shape,Round Diamond,0.07,Diamond,,Round,,,,,,,,,,,,,,,,,,,,
1382,"Effy Nature 14K Rose Gold Ruby, Sapphire & Diamond Butterfly Ring, 1.21 TCW",2516.5,3595,14K Gold,Rose,"Round Multi-Color 0.98, Round Diamond 0.23,",Rings,1.21,Round Multi-Color,0.98,Multi-Color,,Round,Round Diamond,0.23,Diamond,,Round,,,,,,,,,,,,,,,,,,,,
1383,"Effy Nature 14K Rose Gold Ruby, Sapphire & Diamond Butterfly Ring, 1.81 TCW",2520,3600,14K Gold,Rose,"Round Multi-Color 1.34, Round Diamond 0.47,",Rings,1.81,Round Multi-Color,1.34,Multi-Color,,Round,Round Diamond,0.47,Diamond,,Round,,,,,,,,,,,,,,,,,,,,
